time_s,Cout_uS,F_exp,E_exp
1460.0,1620.0,0.9902200488997556,9.168704156479191e-05
1470.0,1621.0,0.9908312958435208,9.168704156479191e-05
1480.0,1623.0,0.9920537897310514,9.168704156479745e-05
1490.0,1624.0,0.9926650366748168,9.168704156478635e-05
1500.0,1626.0,0.9938875305623471,6.112469437651868e-05
1510.0,1626.0,0.9938875305623471,6.112469437652979e-05
1520.0,1628.0,0.9951100244498777,0.00012224938875305958
1530.0,1630.0,0.9963325183374083,0.0001528117359413217
1540.0,1633.0,0.9981662591687042,0.00012224938875305403
1550.0,1634.0,0.9987775061124694,9.168704156479191e-05
1560.0,1636.0,1.0,0.0001528117359413217
1570.0,1639.0,1.0018337408312958,-0.00012224938875305403
1580.0,1632.0,0.9975550122249389,-0.00018337408312958382
1590.0,1633.0,0.9981662591687042,9.168704156479191e-05
1600.0,1635.0,0.9993887530562348,9.168704156479191e-05
1610.0,1636.0,1.0,6.112469437652979e-05
1620.0,1637.0,1.0006112469437654,9.168704156479191e-05
1630.0,1639.0,1.0018337408312958,9.168704156479191e-05
1640.0,1640.0,1.0024449877750612,6.112469437652424e-05
1650.0,1641.0,1.0030562347188263,9.168704156479191e-05
1660.0,1643.0,1.004278728606357,6.112469437653534e-05
1670.0,1643.0,1.004278728606357,0.0
