time_s,Cout_uS,E_exp,E_theo
1170.0,148.0,0.0002323135605192522,0.00015382971049256105
1180.0,146.0,0.00022917418807980288,0.00015030382072848863
1190.0,146.0,0.00022917418807980288,0.000146858746943258
1200.0,145.0,0.0002276045018600782,0.0001434926367753735
1210.0,145.0,0.0002276045018600782,0.00014020368032082361
1220.0,143.0,0.00022446512942062886,0.00013699010915992378
1230.0,142.0,0.00022289544320090414,0.00013385019540646523
1240.0,143.0,0.00022446512942062886,0.0001307822507786583
1250.0,142.0,0.00022289544320090414,0.0001277846256913699
1260.0,138.0,0.00021661669832200546,0.0001248557083691676
1270.0,140.0,0.0002197560707614548,0.00012199392397969401
1280.0,139.0,0.00021818638454173012,0.00011919773378690396
1290.0,139.0,0.00021818638454173012,0.00011646563432371088
1300.0,138.0,0.00021661669832200546,0.00011379615658359627
1310.0,138.0,0.00021661669832200546,0.00011118786523074811
1320.0,137.0,0.00021504701210228077,0.0001086393578283038
1330.0,137.0,0.00021504701210228077,0.00010614926408428199
1340.0,136.0,0.0002134773258825561,0.00010371624511479829
1350.0,137.0,0.00021504701210228077,0.00010133899272416874
1360.0,135.0,0.00021190763966283144,9.901622870151377e-05
1370.0,135.0,0.00021190763966283144,9.674670413348435e-05
1380.0,135.0,0.00021190763966283144,9.452919873274134e-05
1390.0,135.0,0.00021190763966283144,9.236252018182605e-05
1400.0,134.0,0.00021033795344310675,9.024550349207038e-05
1410.0,132.0,0.00020719858100365737,8.817701037720079e-05
1420.0,134.0,0.00021033795344310675,8.615592864129963e-05
1430.0,132.0,0.00020719858100365737,8.418117158079536e-05
1440.0,133.0,0.00020876826722338208,8.225167740015918e-05
1450.0,132.0,0.00020719858100365737,8.036640864099428e-05
1460.0,133.0,0.00020876826722338208,7.852435162421115e-05
1470.0,131.0,0.0002056288947839327,7.672451590498826e-05
1480.0,132.0,0.00020719858100365737,7.496593374022567e-05
1490.0,131.0,0.0002056288947839327,7.324765956820498e-05
1500.0,130.0,0.00020405920856420804,7.15687695001756e-05
1510.0,132.0,0.00020719858100365737,6.992836082359469e-05
1520.0,130.0,0.00020405920856420804,6.83255515167528e-05
